Epoch: [0]  [  630/12690]  eta: 0:34:19  lr: 0.003157  loss: 0.1318 (0.1750)  loss_classifier: 0.0891 (0.1184)  loss_box_reg: 0.0164 (0.0235)  loss_objectness: 0.0007 (0.0037)  loss_rpn_box_reg: 0.0236 (0.0294)  time: 0.1707  data: 0.0029  max mem: 1670
Epoch: [0]  [  640/12690]  eta: 0:34:17  lr: 0.003207  loss: 0.1250 (0.1744)  loss_classifier: 0.0780 (0.1177)  loss_box_reg: 0.0153 (0.0235)  loss_objectness: 0.0009 (0.0037)  loss_rpn_box_reg: 0.0238 (0.0295)  time: 0.1712  data: 0.0029  max mem: 1670
Epoch: [0]  [  650/12690]  eta: 0:34:14  lr: 0.003257  loss: 0.1715 (0.1749)  loss_classifier: 0.0919 (0.1182)  loss_box_reg: 0.0189 (0.0236)  loss_objectness: 0.0009 (0.0036)  loss_rpn_box_reg: 0.0255 (0.0294)  time: 0.1684  data: 0.0028  max mem: 1670
Epoch: [0]  [  660/12690]  eta: 0:34:13  lr: 0.003307  loss: 0.1790 (0.1752)  loss_classifier: 0.1429 (0.1183)  loss_box_reg: 0.0261 (0.0237)  loss_objectness: 0.0010 (0.0036)  loss_rpn_box_reg: 0.0261 (0.0296)  time: 0.1712  data: 0.0027  max mem: 1670
Epoch: [0]  [  670/12690]  eta: 0:34:13  lr: 0.003357  loss: 0.1472 (0.1755)  loss_classifier: 0.0796 (0.1185)  loss_box_reg: 0.0186 (0.0239)  loss_objectness: 0.0014 (0.0036)  loss_rpn_box_reg: 0.0255 (0.0295)  time: 0.1757  data: 0.0028  max mem: 1670
Epoch: [0]  [  680/12690]  eta: 0:34:11  lr: 0.003407  loss: 0.1284 (0.1750)  loss_classifier: 0.0831 (0.1181)  loss_box_reg: 0.0145 (0.0238)  loss_objectness: 0.0015 (0.0036)  loss_rpn_box_reg: 0.0199 (0.0295)  time: 0.1745  data: 0.0028  max mem: 1670
Epoch: [0]  [  690/12690]  eta: 0:34:10  lr: 0.003457  loss: 0.1225 (0.1744)  loss_classifier: 0.0820 (0.1177)  loss_box_reg: 0.0085 (0.0237)  loss_objectness: 0.0017 (0.0036)  loss_rpn_box_reg: 0.0288 (0.0295)  time: 0.1715  data: 0.0028  max mem: 1670
Epoch: [0]  [  700/12690]  eta: 0:34:08  lr: 0.003506  loss: 0.1372 (0.1742)  loss_classifier: 0.0792 (0.1174)  loss_box_reg: 0.0100 (0.0236)  loss_objectness: 0.0017 (0.0036)  loss_rpn_box_reg: 0.0288 (0.0295)  time: 0.1709  data: 0.0029  max mem: 1670
Epoch: [0]  [  710/12690]  eta: 0:34:06  lr: 0.003556  loss: 0.1501 (0.1739)  loss_classifier: 0.0956 (0.1172)  loss_box_reg: 0.0179 (0.0236)  loss_objectness: 0.0024 (0.0036)  loss_rpn_box_reg: 0.0272 (0.0296)  time: 0.1692  data: 0.0029  max mem: 1670
Epoch: [0]  [  720/12690]  eta: 0:34:04  lr: 0.003606  loss: 0.1683 (0.1744)  loss_classifier: 0.1113 (0.1176)  loss_box_reg: 0.0184 (0.0237)  loss_objectness: 0.0024 (0.0036)  loss_rpn_box_reg: 0.0313 (0.0295)  time: 0.1698  data: 0.0029  max mem: 1670
Epoch: [0]  [  730/12690]  eta: 0:34:02  lr: 0.003656  loss: 0.1806 (0.1745)  loss_classifier: 0.1113 (0.1178)  loss_box_reg: 0.0146 (0.0236)  loss_objectness: 0.0031 (0.0036)  loss_rpn_box_reg: 0.0223 (0.0295)  time: 0.1701  data: 0.0028  max mem: 1670
